00000370,00000001,000ffffd,18
01000bec,00000001,000ffffe,49003
01000b70,00000001,000ffffe,49479
01000ba8,00000001,000ffffe,49989
01000b78,00000002,000ffffe,50485
01000b04,00000001,000ffffe,50732
01000ba4,00000001,000ffffe,51096
01000b70,00000001,000ffffe,51518
01000b98,00000001,000ffffe,51969
01000b78,00000002,000ffffe,52196
01000b28,00000001,000ffffe,52548
01000b54,0000000e,00080074,52738
01000b70,00000001,000ffffe,52814
01000b8c,00000001,000ffffe,52859
01000b40,00000001,000ffffe,52894
01000b54,0000000e,00080074,52895
01000b58,00000001,000ffffe,53172
01000b28,00000001,000ffffe,53583
01000b58,00000001,000ffffe,53789
01000b78,00000002,000ffffe,54165
01000b78,00000002,000ffffe,54353
01000b94,00000001,000ffffe,54686
01000b48,00000002,000ffffe,55126
01000b78,00000002,000ffffe,55346
01000b40,00000001,000ffffe,55727
01000b28,00000001,000ffffe,56158
01000b28,00000001,000ffffe,56374
01000b84,00000073,00080053,56868
01000b70,00000001,000ffffe,57184
01000b28,00000001,000ffffe,57639
01000ba4,00000001,000ffffe,57867
01000b84,00000073,00080045,58335
01000b94,00000001,000ffffe,58638
01000b48,00000002,000ffffe,58848
01000b84,00002ce4,0008006b,58865
01000b78,00000002,000ffffe,58953
01000bdc,00000002,000ffffe,59006
01000ba8,00000001,000ffffe,59032
01000ba8,00000001,000ffffe,59046
01000b78,00000002,000ffffe,59326
01000bdc,00000002,000ffffe,59466
01000bb0,00000001,000ffffe,59807
01000ba0,00000001,000ffffe,60250
01000b54,0000000e,00080074,60485
01000b1c,00000001,000ffffe,60855
01000b54,0000000e,00080074,61060
01000b8c,00000001,000ffffe,61383
01000b48,00000002,000ffffe,61824
01000b48,00000002,000ffffe,62284
00000a00,00000001,000ffffe,62785
01000b40,00000001,000ffffe,63276
01000b54,0000000e,0008007c,63535
01000b84,00000081,0008005e,64013
01000be0,00000010,0008007c,64082
01000b58,00000001,000ffffe,64398
01000ba8,00000001,000ffffe,64564
01000b70,00000001,000ffffe,64887
01000b98,00000001,000ffffe,65049
01000b28,00000001,000ffffe,65370
01000b58,00000001,000ffffe,65531
01000bc8,00000001,000ffffe,65612
01000ba0,00000001,000ffffe,65653
01000b58,00000001,000ffffe,65674
01000b40,00000001,000ffffe,65685
01000b84,00000081,0008005f,65819
01000b98,00000001,000ffffe,65966
01000b70,00000001,000ffffe,66104
01000b40,00000001,000ffffe,66445
01000b40,00000001,000ffffe,66616
01000b28,00000001,000ffffe,66702
01000b40,00000001,000ffffe,67017
01000ba8,00000001,000ffffe,67175
01000b8c,00000001,000ffffe,67526
01000b98,00000001,000ffffe,67702
01000b98,00000001,000ffffe,68030
01000b28,00000001,000ffffe,68466
01000b40,00000001,000ffffe,68924
01000b28,00000001,000ffffe,69425
01000b58,00000001,000ffffe,69802
01000b84,00000081,0008005a,69804
01000b84,00000081,00080070,70233
01000bd0,00000001,000ffffe,70257
01000b70,00000001,000ffffe,70605
01000b70,00000001,000ffffe,71051
01000ba0,00000001,000ffffe,71514
01000ba8,00000001,000ffffe,71746
01000b98,00000001,000ffffe,72102
01000ba8,00000001,000ffffe,72520
01000be4,00000001,000ffffe,72969
01000b28,00000001,000ffffe,73194
01000ba4,00000001,000ffffe,73307
01000b1c,00000001,000ffffe,73364
01000ba0,00000001,000ffffe,73393
01000ba4,00000001,000ffffe,73408
01000b78,00000002,000ffffe,73417
01000b98,00000001,000ffffe,73692
01000b70,00000001,000ffffe,74102
01000b8c,00000001,000ffffe,74579
01000b54,0000000e,0008007c,74831
01000b8c,00000001,000ffffe,74938
01000b8c,00000001,000ffffe,75238
01000ba0,00000001,000ffffe,75628
01000b58,00000001,000ffffe,76095
01000b0c,00000002,000ffffe,76330
01000b94,00000001,000ffffe,76686
01000b28,00000001,000ffffe,76865
01000b78,00000002,000ffffe,76956
01000b78,00000002,000ffffe,77273
01000b8c,00000001,000ffffe,77431
00000a88,00000001,000ffffe,77511
00000a70,00000001,000ffffe,77823
01000ba0,00000001,000ffffe,78219
01000b98,00000001,000ffffe,78689
01000be0,00000008,00080084,79203
01000b28,00000001,000ffffe,79450
01000b8c,00000001,000ffffe,79817
01000b84,0000008f,00080066,80143
01000ba0,00000001,000ffffe,80333
01000bec,00000001,000ffffe,80771
01000b70,00000001,000ffffe,81230
01000b8c,00000001,000ffffe,81460
01000b58,00000001,000ffffe,81815
01000ba0,00000001,000ffffe,81993
01000ba4,00000001,000ffffe,82322
01000bec,00000001,000ffffe,82487
01000b48,00000002,000ffffe,82571
01000b48,00000002,000ffffe,82613
01000b70,00000001,000ffffe,82873
01000b28,00000001,000ffffe,83070
01000b84,0000008f,00080068,83146
01000b70,00000001,000ffffe,83375
01000b40,00000001,000ffffe,83528
01000b8c,00000001,000ffffe,83605
01000b48,00000002,000ffffe,83645
01000b8c,00000001,000ffffe,83664
01000b58,00000001,000ffffe,83946
01000b48,00000002,000ffffe,84360
01000b98,00000001,000ffffe,84566
01000ba8,00000001,000ffffe,84670
01000b70,00000001,000ffffe,84962
01000bf0,00000001,000ffffe,85348
01000ba4,00000001,000ffffe,85813
01000b58,00000001,000ffffe,86046
01000b78,00000002,000ffffe,86164
01000b78,00000002,000ffffe,86223
01000b8c,00000001,000ffffe,86252
01000b94,00000001,000ffffe,86539
01000b98,00000001,000ffffe,86683
01000ba4,00000001,000ffffe,87027
01000ba8,00000001,000ffffe,87471
01000b40,00000001,000ffffe,87933
01000b70,00000001,000ffffe,88436
01000ba8,00000001,000ffffe,88688
01000b94,00000001,000ffffe,89054
01000b54,0000008f,00080084,89619
01000ba8,00000001,000ffffe,89689
01000bf0,00000001,000ffffe,90067
01000bf0,00000001,000ffffe,90496
01000b78,00000002,000ffffe,90712
01000ba8,00000001,000ffffe,90819
01000b84,0000008f,00080055,91255
01000b04,00000001,000ffffe,91500
01000b48,00000002,000ffffe,91695
01000bc8,00000001,000ffffe,92063
01000ba4,00000001,000ffffe,92248
01000b94,00000001,000ffffe,92388
01000b70,00000001,000ffffe,92412
01000b84,0000008f,00080082,92483
01000b54,0000000e,00080083,92709
01000b48,00000002,000ffffe,93111
01000b98,00000001,000ffffe,93589
01000b78,00000002,000ffffe,93830
00000994,00000001,000ffffe,94189
00000a20,00000002,000ffffe,94610
01000b84,0000009d,0008007c,95215
01000be4,00000001,000ffffe,95556
01000b98,00000001,000ffffe,95805
01000b78,00000002,000ffffe,95931
01000ba8,00000001,000ffffe,95993
01000bdc,00000002,000ffffe,96026
01000b70,00000001,000ffffe,96313
01000b78,00000002,000ffffe,96730
01000b40,00000001,000ffffe,97209
01000b28,00000001,000ffffe,97721
01000ba0,00000001,000ffffe,98217
01000b20,00000001,000ffffe,98705
01000b98,00000001,000ffffe,99189
01000b84,0000009d,0008004a,99827
01000b54,0000000e,0008008b,100165
01000b54,0000000e,0008008b,100406
01000b94,00000001,000ffffe,100514
01000bb0,00000001,000ffffe,100575
01000b28,00000001,000ffffe,100606
01000b48,00000002,000ffffe,100623
01000b1c,00000001,000ffffe,100902
01000b98,00000001,000ffffe,101314
01000b54,0000000e,0008008b,101805
01000bc8,00000001,000ffffe,102303
01000ba8,00000001,000ffffe,102559
01000ba0,00000001,000ffffe,102927
01000b78,00000002,000ffffe,103352
01000b40,00000001,000ffffe,103803
01000b28,00000001,000ffffe,104301
01000b58,00000001,000ffffe,104790
01000b70,00000001,000ffffe,105035
01000ba8,00000001,000ffffe,105158
01000b70,00000001,000ffffe,105220
01000b58,00000001,000ffffe,105491
01000ba0,00000001,000ffffe,105627
01000b94,00000001,000ffffe,105967
01000b8c,00000001,000ffffe,106409
01000ba4,00000001,000ffffe,106870
01000b48,00000002,000ffffe,107102
01000b54,0000000e,0008008b,107230
01000b40,00000001,000ffffe,107515
01000b78,00000002,000ffffe,107905
01000b48,00000002,000ffffe,108100
01000ba8,00000001,000ffffe,108197
01000b48,00000002,000ffffe,108487
01000b58,00000001,000ffffe,108631
01000bd0,00000001,000ffffe,108741
01000b58,00000001,000ffffe,108760
01000b28,00000001,000ffffe,108770
01000b84,0000009d,0008007a,108860
01000b8c,00000001,000ffffe,109047
01000b58,00000001,000ffffe,109186
01000b40,00000001,000ffffe,109256
01000b8c,00000001,000ffffe,109563
01000b70,00000001,000ffffe,109717
01000ba4,00000001,000ffffe,110066
01000b48,00000002,000ffffe,110242
01000b54,0000000e,0008008b,110342
01000b70,00000001,000ffffe,110645
01000b70,00000001,000ffffe,111043
01000b70,00000001,000ffffe,111514
01000ba0,00000001,000ffffe,111750
01000ba8,00000001,000ffffe,112108
00000a18,00000001,000ffffe,112527
00000a18,00000001,000ffffe,112737
00000a48,00000001,000ffffe,113114
01000b54,0000000e,00080092,113316
01000b20,00000001,000ffffe,113398
01000b54,0000000e,00080092,113459
01000ba4,00000001,000ffffe,113710
01000b40,00000001,000ffffe,114114
01000bf0,00000001,000ffffe,114588
01000bdc,00000002,000ffffe,115098
01000b28,00000001,000ffffe,115352
01000ba8,00000001,000ffffe,115480
01000bec,00000001,000ffffe,115784
01000ba0,00000001,000ffffe,116176
01000b0c,00000002,000ffffe,116645
01000be0,00000008,00080094,117157
01000ba4,00000001,000ffffe,117643
01000b40,00000001,000ffffe,117890
01000b1c,00000001,000ffffe,118014
01000b40,00000001,000ffffe,118316
01000b70,00000001,000ffffe,118707
01000b48,00000002,000ffffe,118904
01000b48,00000002,000ffffe,119274
01000b40,00000001,000ffffe,119698
01000ba4,00000001,000ffffe,119911
01000b48,00000002,000ffffe,120073
01000b84,000000ab,0008007f,120188
01000b28,00000001,000ffffe,120339
01000b70,00000001,000ffffe,120473
01000b48,00000002,000ffffe,120813
01000b40,00000001,000ffffe,120982
01000ba4,00000001,000ffffe,121307
01000b58,00000001,000ffffe,121470
01000b48,00000002,000ffffe,121553
01000b40,00000001,000ffffe,121865
01000b40,00000001,000ffffe,122022
01000b98,00000001,000ffffe,122101
01000b70,00000001,000ffffe,122141
01000b98,00000001,000ffffe,122401
01000b20,00000001,000ffffe,122803
01000b48,00000002,000ffffe,123277
01000b94,00000001,000ffffe,123513
01000b48,00000002,000ffffe,123633
01000b54,0000000e,00080092,123705
01000b58,00000001,000ffffe,123962
01000b98,00000001,000ffffe,124369
01000b40,00000001,000ffffe,124573
01000b70,00000001,000ffffe,124947
01000b54,0000000e,00080092,125387
01000b58,00000001,000ffffe,125588
01000ba8,00000001,000ffffe,125967
01000b58,00000001,000ffffe,126157
01000ba0,00000001,000ffffe,126492
01000b8c,00000001,000ffffe,126660
01000b58,00000001,000ffffe,126984
01000b18,000000a3,00080098,127580
01000ba4,00000001,000ffffe,127875
01000b20,00000001,000ffffe,128104
01000b28,00000001,000ffffe,128219
01000ba8,00000001,000ffffe,128277
01000ba8,00000001,000ffffe,128546
01000b70,00000001,000ffffe,128681
01000b54,0000000e,00080093,128762
01000b94,00000001,000ffffe,129055
01000b58,00000001,000ffffe,129448
01000ba8,00000001,000ffffe,129645
01000b28,00000001,000ffffe,129744
01000b8c,00000001,000ffffe,129794
01000b40,00000001,000ffffe,130059
01000b70,00000001,000ffffe,130192
01000b48,00000002,000ffffe,130260
01000b8c,00000001,000ffffe,130293
01000b84,000000ab,0008005d,130720
01000b48,00000002,000ffffe,130745
01000b98,00000001,000ffffe,130794
01000b70,00000001,000ffffe,130803
01000b98,00000001,000ffffe,130808
01000ba8,00000001,000ffffe,130811
01000b40,00000001,000ffffe,130813
01000b84,000000ab,00080047,130849
01000b84,000000ab,0008007b,130947
01000b48,00000002,000ffffe,131087
01000b98,00000001,000ffffe,131223
01000b94,00000001,000ffffe,131292
01000b48,00000002,000ffffe,131328
01000bec,00000001,000ffffe,131345
01000b40,00000001,000ffffe,131626
01000ba8,00000001,000ffffe,131767
01000b28,00000001,000ffffe,131838
000009b4,00000002,000ffffe,131875
00000a2c,0000005b,00080040,132222
00000a3c,00000001,000ffffe,132533
000009d0,00000001,000ffffe,132734
000009fc,0000000e,0008009a,132848
00000a18,00000001,000ffffe,132886
000009fc,0000000e,0008009a,132925
01000b84,000000b9,00080084,133381
01000b94,00000001,000ffffe,133412
01000b84,000000b9,0008006d,133524
01000b54,0000000e,0008009a,133733
01000ba8,00000001,000ffffe,134114
01000ba0,00000001,000ffffe,134583
01000b70,00000001,000ffffe,134818
01000b8c,00000001,000ffffe,134936
01000b98,00000001,000ffffe,135235
01000b54,0000000e,0008009a,135398
01000b8c,00000001,000ffffe,135732
01000ba0,00000001,000ffffe,135906
01000b98,00000001,000ffffe,136233
01000b54,0000000e,0008009a,136410
01000b28,00000001,000ffffe,136719
01000b58,00000001,000ffffe,137152
01000b8c,00000001,000ffffe,137369
01000b70,00000001,000ffffe,137478
01000b40,00000001,000ffffe,137533
01000b40,00000001,000ffffe,137561
01000b58,00000001,000ffffe,137847
01000b58,00000001,000ffffe,138262
01000ba8,00000001,000ffffe,138470
01000b70,00000001,000ffffe,138846
01000b84,000000b9,00080077,139458
01000b58,00000001,000ffffe,139728
01000b84,000000b9,00080086,140411
01000ba8,00000001,000ffffe,140477
01000b8c,00000001,000ffffe,140842
01000b78,00000002,000ffffe,141026
01000b28,00000001,000ffffe,141117
01000b58,00000001,000ffffe,141435
01000b70,00000001,000ffffe,141834
01000b78,00000002,000ffffe,142035
01000b8c,00000001,000ffffe,142406
01000b8c,00000001,000ffffe,142832
01000b58,00000001,000ffffe,143285
01000b58,00000001,000ffffe,143512
01000b54,0000000e,0008009a,143639
01000b54,0000000e,0008009a,143936
01000b94,00000001,000ffffe,144072
01000bb0,00000001,000ffffe,144147
01000b84,000000b9,0008004c,144369
01000ba0,00000001,000ffffe,144444
01000ba4,00000001,000ffffe,144574
01000bf4,00000001,000ffffe,145080
01000b84,000000b9,00080044,145095
01000b78,00000002,000ffffe,145166
01000b40,00000001,000ffffe,145230
01000b84,000000b9,00080080,145392
01000ba4,00000001,000ffffe,145513
01000ba0,00000001,000ffffe,145655
01000bc8,00000001,000ffffe,145998
01000b48,00000002,000ffffe,146171
01000b28,00000001,000ffffe,146496
01000aec,00000001,000ffffe,146931
01000ba0,00000001,000ffffe,147149
01000b8c,00000001,000ffffe,147530
01000b28,00000001,000ffffe,147721
01000ba4,00000001,000ffffe,147817
01000b58,00000001,000ffffe,148137
01000b78,00000002,000ffffe,148538
01000b84,000000b9,00080055,149193
01000be4,00000001,000ffffe,149517
01000b28,00000001,000ffffe,150011
01000b48,00000002,000ffffe,150499
01000b70,00000001,000ffffe,150742
01000ba0,00000001,000ffffe,151104
01000b78,00000002,000ffffe,151526
01000be0,00000008,000800a1,151743
01000b94,00000001,000ffffe,151842
01000b48,00000002,000ffffe,152136
01000b94,00000001,000ffffe,152282
01000b98,00000001,000ffffe,152356
01000bf4,00000001,000ffffe,152665
01000b78,00000002,000ffffe,152821
01000ba0,00000001,000ffffe,152898
00000ab0,00000002,000ffffe,153210
00000a3c,00000001,000ffffe,153365
000009f0,00000002,000ffffe,153716
00000a34,00000001,000ffffe,154162
000009e8,00000001,000ffffe,154386
01000b54,0000000e,000800a2,154783
01000b94,00000001,000ffffe,155202
01000b8c,00000001,000ffffe,155658
01000ba4,00000001,000ffffe,156158
01000b54,0000000e,000800a1,156661
01000b78,00000002,000ffffe,157134
01000b8c,00000001,000ffffe,157376
01000b40,00000001,000ffffe,157498
01000be4,00000001,000ffffe,157799
01000ba8,00000001,000ffffe,157950
01000b48,00000002,000ffffe,158027
01000b40,00000001,000ffffe,158336
01000ba4,00000001,000ffffe,158731
01000ba0,00000001,000ffffe,158929
01000ba4,00000001,000ffffe,159300
01000ba8,00000001,000ffffe,159486
01000b58,00000001,000ffffe,159819
01000bdc,00000002,000ffffe,159987
01000b28,00000001,000ffffe,160070
01000bdc,00000002,000ffffe,160385
01000bd0,00000001,000ffffe,160781
01000bd0,00000001,000ffffe,160980
01000b40,00000001,000ffffe,161080
01000b8c,00000001,000ffffe,161370
01000b94,00000001,000ffffe,161755
01000b54,0000000e,000800a2,161961
01000ba8,00000001,000ffffe,162045
01000b78,00000002,000ffffe,162095
01000b54,0000000e,000800a2,162132
01000b48,00000002,000ffffe,162133
01000b94,00000001,000ffffe,162139
01000ba8,00000001,000ffffe,162143
01000b40,00000001,000ffffe,162417
01000ba4,00000001,000ffffe,162826
01000b58,00000001,000ffffe,163031
01000b94,00000001,000ffffe,163134
01000b48,00000002,000ffffe,163187
01000ba8,00000001,000ffffe,163452
01000b78,00000002,000ffffe,163858
01000b98,00000001,000ffffe,164060
01000bb0,00000001,000ffffe,164162
01000b70,00000001,000ffffe,164453
01000b8c,00000001,000ffffe,164599
01000b28,00000001,000ffffe,164944
01000b48,00000002,000ffffe,165118
01000b48,00000002,000ffffe,165205
01000b58,00000001,000ffffe,165248
01000ba0,00000001,000ffffe,165510
01000b48,00000002,000ffffe,165914
01000b70,00000001,000ffffe,166115
01000b8c,00000001,000ffffe,166488
01000b98,00000001,000ffffe,166675
01000b54,0000000e,000800a1,166782
01000ba0,00000001,000ffffe,167088
01000b28,00000001,000ffffe,167248
01000b98,00000001,000ffffe,167600
01000b58,00000001,000ffffe,168048
01000b28,00000001,000ffffe,168512
01000b70,00000001,000ffffe,169016
01000b40,00000001,000ffffe,169508
01000b48,00000002,000ffffe,169995
01000b54,0000000e,000800a2,170490
01000b58,00000001,000ffffe,170719
01000b94,00000001,000ffffe,171080
01000b70,00000001,000ffffe,171261
01000b94,00000001,000ffffe,171352
01000ba8,00000001,000ffffe,171398
01000b98,00000001,000ffffe,171793
01000b84,000000c7,00080082,171859
01000aec,00000001,000ffffe,172131
01000b84,000000c7,00080055,172770
01000b40,00000001,000ffffe,172793
01000b28,00000001,000ffffe,172904
01000ba0,00000001,000ffffe,172960
01000b98,00000001,000ffffe,173228
01000b58,00000001,000ffffe,173634
01000ba0,00000001,000ffffe,174109
01000b70,00000001,000ffffe,174347
01000ba0,00000001,000ffffe,174706
01000b78,00000002,000ffffe,174887
01000b8c,00000001,000ffffe,175216
01000b70,00000001,000ffffe,175653
00000a2c,0000003f,0008004f,175934
00000a18,00000001,000ffffe,175982
00000aa8,00000001,000ffffe,176277
000009d0,00000001,000ffffe,176425
00000a40,00000001,000ffffe,176771
00000a2c,000000d3,0008007c,177426
01000b70,00000001,000ffffe,177439
01000b48,00000002,000ffffe,177552
01000b40,00000001,000ffffe,177847
01000b70,00000001,000ffffe,178235
01000b54,0000000e,000800a9,178714
01000ba4,00000001,000ffffe,179206
01000b8c,00000001,000ffffe,179586
01000ba8,00000001,000ffffe,179650
01000b84,000000d5,00080049,179671
01000b48,00000002,000ffffe,179923
01000ba4,00000001,000ffffe,180330
01000b78,00000002,000ffffe,180807
01000b78,00000002,000ffffe,181317
01000b48,00000002,000ffffe,181812
01000b94,00000001,000ffffe,182059
01000b54,0000000e,000800a9,182436
01000ba8,00000001,000ffffe,182845
01000b98,00000001,000ffffe,183296
01000b94,00000001,000ffffe,183522
01000b94,00000001,000ffffe,183875
01000b40,00000001,000ffffe,184052
01000b54,0000000e,000800a9,184154
01000b78,00000002,000ffffe,184187
01000b40,00000001,000ffffe,184209
01000ba8,00000001,000ffffe,184221
01000b8c,00000001,000ffffe,184499
01000b28,00000001,000ffffe,185116
01000b84,000000d5,0008008e,185122
01000b70,00000001,000ffffe,185491
01000b8c,00000001,000ffffe,185679
01000b54,0000001f,000800a9,186043
01000bd0,00000001,000ffffe,186452
01000aec,00000001,000ffffe,186672
01000b84,000000d5,00080096,187266
01000ba4,00000001,000ffffe,187485
01000b40,00000001,000ffffe,187701
01000ba0,00000001,000ffffe,188081
01000b40,00000001,000ffffe,188511
01000b48,00000002,000ffffe,188967
01000b54,0000000e,000800a9,189207
01000b40,00000001,000ffffe,189548
01000b78,00000002,000ffffe,189966
01000b48,00000002,000ffffe,190175
01000b94,00000001,000ffffe,190279
01000b54,0000000e,000800a9,190345
01000b48,00000002,000ffffe,190360
01000b48,00000002,000ffffe,190374
01000ba4,00000001,000ffffe,190652
01000b94,00000001,000ffffe,190792
01000ba4,00000001,000ffffe,191134
01000ba4,00000001,000ffffe,191577
01000b84,000000d5,00080045,192011
01000b94,00000001,000ffffe,192182
01000b48,00000002,000ffffe,192375
01000b98,00000001,000ffffe,192710
01000b98,00000001,000ffffe,193150
01000b48,00000002,000ffffe,193611
01000b8c,00000001,000ffffe,194112
01000b28,00000001,000ffffe,194603
01000b70,00000001,000ffffe,194849
01000ba4,00000001,000ffffe,195212
01000ba4,00000001,000ffffe,195394
01000b40,00000001,000ffffe,195725
01000b98,00000001,000ffffe,195891
01000b8c,00000001,000ffffe,196214
01000ba8,00000001,000ffffe,196376
01000b78,00000002,000ffffe,196698
01000ba8,00000001,000ffffe,196858
01000b78,00000002,000ffffe,196981
01000ba8,00000001,000ffffe,197001
01000b98,00000001,000ffffe,197012
01000b48,00000002,000ffffe,197019
01000b84,000000d5,00080055,197151
01000b8c,00000001,000ffffe,197293
01000b54,0000000e,000800a9,197444
